#ID,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
1,Z,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P928FA172629,12Aug2032,12Feb2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,14Aug2015
2,X,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P928FA173196,15Sep2032,15Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,17Sep2015
3,T,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P925FA173379,08Sep2032,08Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,10Sep2015
4,R,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P921FA173380,20Sep2032,07Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,22Sep2015
5,M,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P923FA173381,15Sep2032,15Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,17Sep2015
6,K,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P921FA173556,27Sep2032,27Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,29Sep2015
7,H,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P923FA173557,29Sep2032,29Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,01Oct2015
8,E,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P925FA173558,29Sep2032,29Mar2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,01Oct2015
9,C,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P926GA174624,08Nov2032,08May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,10Nov2015
10,Y,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P92XGA175324,29Dec2032,29Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488,,31Dec2015
