#ID,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox,EDS model,Chair model,Door model,Air Con model,Registration Date,Advertisement Override
1000,G,Mercedes Benz,Citaro,EvoBus,SBS Transit,WEB62808323130313,05Jun2033,5Jun2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,6Jun2016,
1001,D,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129398,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1002,B,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129399,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1003,Z,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129400,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1004,X,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129401,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1005,T,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129402,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1006,R,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129403,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1007,M,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129404,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1008,K,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,WEB62808323129405,30Nov2032,31May2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1009,H,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323129406,30Nov2032,27Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1010,C,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323129407,30Nov2032,27Aug2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,1Dec2015,
1011,A,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130326,19Apr2033,19Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
1012,Y,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130327,19Apr2033,19Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
1013,U,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,WEB62808323130328,19Apr2033,19Apr2020,Land Transport Authority (LTA)'s Lush Green livery,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800,20Apr2016,
