#lD,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
1,H,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000006,18Jun2025,18Jun2020,Land Transport Authority (LTA)'s Lush Green livery,Demonstrator; Passed; Refurbished,KJDEP,TRG,Demo,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,19Jun2008
2,E,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000059,15Sep2025,15Sep2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,16Sep2008
3,C,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000060,15Sep2025,15Sep2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,16Sep2008
4,A,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000061,15Sep2025,15Sep2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,AMDEP,TRG,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,16Sep2008
5,Y,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000062,15Sep2025,15Sep2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,16Sep2008
6,U,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000063,15Sep2025,15Sep2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,16Sep2008
7,S,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000064,15Sep2025,15Sep2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,16Sep2008
8,P,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000065,06Oct2025,06Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Oct2008
9,L,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000066,06Oct2025,06Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Oct2008
10,G,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000067,06Oct2025,06Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Oct2008
11,D,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000068,06Oct2025,06Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Oct2008
12,B,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000069,06Oct2025,06Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Oct2008
13,Z,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000070,06Oct2025,06Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,07Oct2008
14,X,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000072,20Oct2025,20Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,21Oct2008
15,T,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000073,20Oct2025,20Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,21Oct2008
16,R,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000074,20Oct2025,20Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,21Oct2008
17,M,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000075,20Oct2025,20Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,21Oct2008
18,K,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000076,20Oct2025,20Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,21Oct2008
19,H,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000077,20Oct2025,20Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,21Oct2008
20,C,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000078,29Oct2025,29Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Oct2008
21,A,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000079,29Oct2025,29Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Oct2008
22,Y,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000080,29Oct2025,29Oct2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,1,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,30Oct2008
