#ID,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
1,E,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,Demonstrator: Passed,KJDEP,167,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
2,C,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,KJDEP,160,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
3,A,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
4,Y,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
5,U,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
6,S,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
7,P,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
8,L,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
9,J,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
10,D,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
11,B,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
12,Z,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
13,X,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
14,T,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
15,R,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
16,M,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
17,K,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
18,H,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
19,E,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
20,A,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
21,Y,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
22,U,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
23,S,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
24,P,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
25,L,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
26,J,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
27,G,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
28,D,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
29,B,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
30,X,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
31,T,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
32,R,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
33,M,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
34,K,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
35,H,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
36,E,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
37,C,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
38,A,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
39,Y,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
40,S,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
41,P,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
42,L,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
43,J,Nissan Diesel,U31F,Fuji Heavy Industries R15/5E,Trans Island Buses,Unknown,,,,,,,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,NAC,,Unknown
44,G,Nissan Diesel,U31F,Fuji Heavy Industries R15/5E,Trans Island Buses,Unknown,,,,,,,1,ZF Ecomat I 4HP 500,NA; Desto,Unknown,Unknown,NAC,,Unknown
45,D,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
46,B,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
47,Z,Hino,RK176,Hino,Trans Island Buses,Unknown,,,,,,,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC,,Unknown
